"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"12-AUG-2025","26-SEP-2025","FF","-","87.85","87.93","87.78","87.92","87.90","87.92","15,002","1,31,84,58,910.0000","1,31,84,58,910.0000","70,648","3,897"
"11-AUG-2025","26-SEP-2025","FF","-","87.76","87.90","87.67","87.89","87.90","87.89","6,434","56,46,70,977.5000","56,46,70,977.5000","66,751","1,184"
"08-AUG-2025","26-SEP-2025","FF","-","87.60","87.92","87.60","87.81","87.82","87.81","9,180","80,60,38,255.0000","80,60,38,255.0000","65,567","5,862"
"07-AUG-2025","26-SEP-2025","FF","-","87.95","87.95","87.55","87.70","87.69","87.70","10,440","91,70,28,142.5000","91,70,28,142.5000","59,705","1,427"
"06-AUG-2025","26-SEP-2025","FF","-","87.98","88.05","87.84","87.95","87.95","87.95","4,178","36,72,61,092.5000","36,72,61,092.5000","58,278","732"
"05-AUG-2025","26-SEP-2025","FF","-","87.91","88.09","87.91","87.98","87.97","87.98","3,987","35,09,09,270.0000","35,09,09,270.0000","57,546","1,780"
"04-AUG-2025","26-SEP-2025","FF","-","87.60","87.92","87.45","87.86","87.86","87.86","19,211","1,68,59,86,127.5000","1,68,59,86,127.5000","55,766","11,923"
"01-AUG-2025","26-SEP-2025","FF","-","87.78","87.80","87.46","87.70","87.70","87.70","8,443","73,98,58,350.0000","73,98,58,350.0000","43,843","2,798"
"31-JUL-2025","26-SEP-2025","FF","-","87.90","87.99","87.71","87.84","87.86","87.84","10,598","93,09,81,447.5000","93,09,81,447.5000","41,045","5,393"
"30-JUL-2025","26-SEP-2025","FF","-","87.20","87.78","87.20","87.67","87.66","87.67","16,079","1,40,75,77,590.0000","1,40,75,77,590.0000","35,652","9,689"
"29-JUL-2025","26-SEP-2025","FF","-","87.03","87.17","87.00","87.08","87.09","87.08","7,950","69,23,71,787.5000","69,23,71,787.5000","25,963","3,456"
"28-JUL-2025","26-SEP-2025","FF","-","86.80","86.98","86.62","86.97","86.97","86.97","24,389","2,11,70,62,712.5000","2,11,70,62,712.5000","22,507","14,011"
"25-JUL-2025","26-SEP-2025","FF","-","86.71","86.85","86.71","86.81","86.82","86.81","2,054","17,82,46,947.5000","17,82,46,947.5000","8,496","1,587"
