"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"08-NOV-2024","26-SEP-2025","FF","-","85.77","85.77","85.77","85.77","85.77","86.63","15","12,86,550.0000","12,86,550.0000","220","-"
"07-NOV-2024","26-SEP-2025","FF","-","85.90","85.90","85.90","85.90","85.90","85.90","12","10,30,800.0000","10,30,800.0000","220","-12"
"06-NOV-2024","26-SEP-2025","FF","-","85.75","85.90","85.75","85.90","85.90","86.60","124","1,06,43,650.0000","1,06,43,650.0000","232","124"
"05-NOV-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.37","-","-","-","108","-"
"04-NOV-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.38","-","-","-","108","-"
"01-NOV-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.35","-","-","-","108","-"
"31-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.46","-","-","-","108","-"
"30-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.74","-","-","-","108","-"
"29-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.73","-","-","-","108","-"
"28-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.70","-","-","-","108","-"
"25-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.71","-","-","-","108","-"
"24-OCT-2024","26-SEP-2025","FF","-","-","-","-","86.50","86.50","86.71","-","-","-","108","-"
"23-OCT-2024","26-SEP-2025","FF","-","86.50","86.50","86.50","86.50","86.50","86.78","5","4,32,500.0000","4,32,500.0000","108","-"
"22-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.79","-","-","-","108","-"
"21-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.77","-","-","-","108","-"
"18-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.82","-","-","-","108","-"
"17-OCT-2024","26-SEP-2025","FF","-","85.75","85.75","85.75","85.75","85.75","86.81","10","8,57,500.0000","8,57,500.0000","108","10"
"16-OCT-2024","26-SEP-2025","FF","-","85.75","85.75","85.75","85.75","85.75","86.83","10","8,57,500.0000","8,57,500.0000","98","10"
"15-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.65","85.65","86.89","-","-","-","88","-"
"14-OCT-2024","26-SEP-2025","FF","-","85.65","85.65","85.65","85.65","85.65","86.91","15","12,84,750.0000","12,84,750.0000","88","15"
"11-OCT-2024","26-SEP-2025","FF","-","85.50","85.70","85.50","85.70","85.70","85.70","16","13,68,200.0000","13,68,200.0000","73","16"
"10-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.80","85.80","86.87","-","-","-","57","-"
"09-OCT-2024","26-SEP-2025","FF","-","85.80","85.80","85.80","85.80","85.80","86.87","13","11,15,400.0000","11,15,400.0000","57","12"
"08-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.80","85.80","86.89","-","-","-","45","-"
"07-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.80","85.80","86.96","-","-","-","45","-"
"04-OCT-2024","26-SEP-2025","FF","-","-","-","-","85.80","85.80","86.11","-","-","-","45","-"
"03-OCT-2024","26-SEP-2025","FF","-","85.80","85.80","85.80","85.80","85.80","85.80","35","30,03,000.0000","30,03,000.0000","45","35"
"01-OCT-2024","26-SEP-2025","FF","-","85.70","85.70","85.70","85.70","85.70","85.70","5","4,28,500.0000","4,28,500.0000","10","5"
"30-SEP-2024","26-SEP-2025","FF","-","85.55","85.55","85.55","85.55","85.55","85.55","5","4,27,750.0000","4,27,750.0000","5","5"
"27-SEP-2024","26-SEP-2025","FF","-","-","-","-","85.09","-","85.89","-","-","-","-","-"
"26-SEP-2024","26-SEP-2025","FF","-","-","-","-","85.09","-","85.86","-","-","-","-","-"
